Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0016ms | time: Sunday September 21, 2025 at 08:39:10 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0010ms | time: Sunday September 21, 2025 at 08:39:10 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0007ms | time: Sunday September 21, 2025 at 08:39:10 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0010ms | time: Sunday September 21, 2025 at 08:39:10 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0005ms | time: Sunday September 21, 2025 at 08:39:11 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0007ms | time: Sunday September 21, 2025 at 08:39:11 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0021ms | time: Sunday September 21, 2025 at 08:39:18 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0009ms | time: Sunday September 21, 2025 at 08:39:18 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0023ms | time: Sunday September 21, 2025 at 08:39:27 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0007ms | time: Sunday September 21, 2025 at 08:39:28 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0008ms | time: Sunday September 21, 2025 at 08:39:28 PM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0004ms | time: Sunday September 21, 2025 at 08:39:36 PM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0188ms | time: Sunday September 21, 2025 at 08:39:36 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 400 | duration : 8.4146ms | time: Sunday September 21, 2025 at 08:40:30 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 14.7033ms | time: Sunday September 21, 2025 at 08:41:22 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 10.6455ms | time: Sunday September 21, 2025 at 08:42:20 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 400 | duration : 7.0022ms | time: Sunday September 21, 2025 at 09:00:45 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 3.7869ms | time: Sunday September 21, 2025 at 09:02:08 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 3.1857ms | time: Sunday September 21, 2025 at 09:02:28 PM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0006ms | time: Sunday September 21, 2025 at 09:02:39 PM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0216ms | time: Sunday September 21, 2025 at 09:02:40 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0024ms | time: Sunday September 21, 2025 at 09:15:07 PM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0007ms | time: Sunday September 21, 2025 at 09:15:13 PM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0096ms | time: Sunday September 21, 2025 at 09:15:13 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 10.4999ms | time: Sunday September 21, 2025 at 09:16:01 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 3.1435ms | time: Sunday September 21, 2025 at 09:16:30 PM
Request url : http://127.0.0.1:8000/auth/signup | Status -> 200 | duration : 3.5980ms | time: Sunday September 21, 2025 at 09:16:45 PM
Request url : http://127.0.0.1:8000/ | Status -> 200 | duration : 0.0065ms | time: Sunday September 21, 2025 at 10:42:11 PM
Request url : http://127.0.0.1:8000/docs | Status -> 200 | duration : 0.0006ms | time: Sunday September 21, 2025 at 10:42:17 PM
Request url : http://127.0.0.1:8000/openapi.json | Status -> 200 | duration : 0.0147ms | time: Sunday September 21, 2025 at 10:42:17 PM
